chrom	start	end
AE017150.2	124339	124355
AE017150.2	125043	125063
AE017150.2	125164	125180
AE017150.2	125447	125463
AE017150.2	126822	126838
AE017150.2	127950	127966
AE017150.2	129282	129298
AE017150.2	132935	132951
AE017150.2	134267	134283
AE017150.2	134792	134810
AE017150.2	136465	136481
AE017150.2	136939	136955
AE017150.2	139946	139962
AE017150.2	143094	143110
AE017150.2	145785	145801
AE017150.2	146685	146701
AE017150.2	148243	148259
AE017150.2	149213	149229
AE017150.2	152172	152188
AE017150.2	157623	157639
AE017150.2	159008	159024
AE017150.2	160615	160633
AE017150.2	161103	161119
AE017150.2	161212	161228
AE017150.2	161276	161292
AE017150.2	161385	161401
AE017150.2	161517	161533
AE017150.2	162236	162252
AE017150.2	162940	162960
AE017150.2	163061	163077
AE017150.2	163344	163360
AE017150.2	164725	164741
AE017150.2	165848	165864
AE017150.2	167179	167195
AE017150.2	167607	167625
AE017150.2	168733	168749
AE017150.2	170108	170124
AE017150.2	170391	170407
AE017150.2	170508	170528
AE017150.2	171216	171232
AE017150.2	171935	171951
AE017150.2	172067	172083
AE017150.2	172176	172192
AE017150.2	172240	172256
AE017150.2	172349	172365
AE017150.2	172835	172853
AE017150.2	173375	173391
AE017150.2	177057	177073
AE017150.2	177801	177817
AE017150.2	178022	178038
AE017150.2	179581	179597
AE017150.2	180480	180496
AE017150.2	183172	183188
AE017150.2	186316	186334
AE017150.2	188862	188878
AE017150.2	189302	189318
AE017150.2	189792	189808
AE017150.2	191914	191930
AE017150.2	192023	192039
AE017150.2	192087	192103
AE017150.2	192196	192212
AE017150.2	192328	192344
AE017150.2	193047	193063
AE017150.2	193751	193771
AE017150.2	193872	193888
AE017150.2	194155	194171
AE017150.2	195192	195208
AE017150.2	195530	195546
AE017150.2	196911	196929
AE017150.2	198294	198310
AE017150.2	200009	200025
AE017150.2	200275	200291
AE017150.2	201227	201243
AE017150.2	201991	202007
AE017150.2	202698	202716
AE017150.2	203151	203169
AE017150.2	204771	204787
AE017150.2	206092	206108
AE017150.2	206252	206270
AE017150.2	207532	207548
AE017150.2	208898	208914
AE017150.2	209893	209909
AE017150.2	210373	210397
AE017150.2	211423	211439
AE017150.2	214807	214823
AE017150.2	214826	214842
AE017150.2	215010	215032
AE017150.2	219220	219236
AE017150.2	219247	219265
AE017150.2	219399	219417
AE017150.2	220201	220219
AE017150.2	220312	220328
AE017150.2	222476	222492
AE017150.2	225491	225507
AE017150.2	225843	225859
AE017150.2	225900	225916
AE017150.2	226324	226340
AE017150.2	226855	226873
AE017150.2	227928	227948
AE017150.2	228220	228236
AE017150.2	230564	230580
AE017150.2	231206	231222
AE017150.2	231445	231467
AE017150.2	231582	231598
AE017150.2	235906	235922
AE017150.2	237063	237079
AE017150.2	237503	237519
AE017150.2	237706	237722
AE017150.2	239082	239098
AE017150.2	239529	239545
AE017150.2	239803	239825
AE017150.2	241247	241263
AE017150.2	241990	242006
AE017150.2	242873	242889
AE017150.2	246303	246319
AE017150.2	246924	246940
AE017150.2	247972	247990
AE017150.2	248187	248203
AE017150.2	248222	248238
AE017150.2	248308	248326
AE017150.2	249662	249678
AE017150.2	249994	250010
AE017150.2	250644	250662
AE017150.2	254057	254075
AE017150.2	254177	254193
AE017150.2	254881	254897
AE017150.2	255170	255186
AE017150.2	255759	255775
AE017150.2	255836	255852
AE017150.2	256063	256079
AE017150.2	258636	258652
AE017150.2	258835	258857
AE017150.2	259046	259062
AE017150.2	259493	259509
AE017150.2	261727	261743
AE017150.2	261791	261807
AE017150.2	262655	262671
AE017150.2	263628	263644
AE017150.2	263932	263948
AE017150.2	264133	264149
AE017150.2	264764	264780
AE017150.2	264967	264983
AE017150.2	267140	267156
AE017150.2	267441	267457
AE017150.2	268047	268063
AE017150.2	268197	268213
AE017150.2	268279	268295
AE017150.2	268448	268464
AE017150.2	268611	268627
AE017150.2	268901	268917
AE017150.2	269522	269538
AE017150.2	269844	269860
AE017150.2	271069	271085
AE017150.2	273089	273105
AE017150.2	273412	273428
AE017150.2	274134	274150
AE017150.2	275572	275590
AE017150.2	278456	278472
AE017150.2	279497	279513
AE017150.2	279902	279918
AE017150.2	282745	282761
AE017150.2	283727	283743
AE017150.2	283838	283854
AE017150.2	285906	285922
AE017150.2	286587	286603
AE017150.2	286928	286950
AE017150.2	291279	291295
AE017150.2	292097	292113
AE017150.2	293683	293699
AE017150.2	295856	295872
AE017150.2	295897	295913
AE017150.2	295955	295975
AE017150.2	295981	295997
AE017150.2	296716	296732
AE017150.2	296735	296753
AE017150.2	301478	301494
AE017150.2	301601	301617
AE017150.2	302175	302191
AE017150.2	302221	302241
AE017150.2	303534	303550
AE017150.2	303920	303936
AE017150.2	304360	304376
AE017150.2	305092	305108
AE017150.2	307108	307124
AE017150.2	307357	307373
AE017150.2	308579	308595
AE017150.2	308821	308837
AE017150.2	310851	310867
AE017150.2	311988	312006
AE017150.2	312123	312139
AE017150.2	312154	312170
AE017150.2	313746	313764
AE017150.2	313843	313859
AE017150.2	314481	314497
AE017150.2	314638	314654
AE017150.2	315433	315449
AE017150.2	315631	315647
AE017150.2	316077	316093
AE017150.2	316412	316428
AE017150.2	316797	316813
AE017150.2	316875	316891
AE017150.2	319545	319561
AE017150.2	319814	319834
AE017150.2	320119	320135
AE017150.2	320986	321002
AE017150.2	321305	321323
AE017150.2	321554	321570
AE017150.2	321750	321766
AE017150.2	321767	321783
AE017150.2	322038	322062
AE017150.2	322310	322326
AE017150.2	323894	323910
AE017150.2	324226	324242
AE017150.2	324507	324525
AE017150.2	324588	324604
AE017150.2	325187	325203
AE017150.2	325839	325855
AE017150.2	326628	326644
AE017150.2	328464	328480
AE017150.2	328539	328555
AE017150.2	328792	328808
AE017150.2	329301	329317
AE017150.2	330975	330991
AE017150.2	332245	332267
AE017150.2	333072	333088
AE017150.2	333955	333971
AE017150.2	334218	334234
AE017150.2	337238	337262
AE017150.2	337445	337461
AE017150.2	338705	338721
AE017150.2	339075	339091
AE017150.2	339292	339308
AE017150.2	339402	339418
AE017150.2	339673	339691
AE017150.2	339962	339978
AE017150.2	340901	340921
AE017150.2	341644	341660
AE017150.2	342349	342373
AE017150.2	342734	342750
AE017150.2	343750	343766
AE017150.2	343952	343968
AE017150.2	344698	344714
AE017150.2	345300	345322
AE017150.2	345380	345396
AE017150.2	345713	345729
AE017150.2	346063	346079
AE017150.2	346307	346323
AE017150.2	346969	346985
AE017150.2	347991	348007
AE017150.2	348359	348375
AE017150.2	348605	348621
AE017150.2	349543	349561
AE017150.2	349803	349819
AE017150.2	349897	349913
AE017150.2	350093	350109
AE017150.2	351317	351333
AE017150.2	351542	351558
AE017150.2	351919	351935
AE017150.2	354076	354092
AE017150.2	354254	354270
AE017150.2	355163	355183
AE017150.2	355236	355256
AE017150.2	356802	356818
AE017150.2	357316	357332
AE017150.2	357952	357976
AE017150.2	358279	358295
AE017150.2	358334	358350
AE017150.2	360061	360077
AE017150.2	360118	360134
AE017150.2	360192	360208
AE017150.2	362800	362816
AE017150.2	363142	363158
AE017150.2	363265	363281
AE017150.2	364328	364344
AE017150.2	364406	364422
AE017150.2	365643	365659
AE017150.2	366656	366672
AE017150.2	367489	367505
AE017150.2	367900	367916
AE017150.2	368013	368029
AE017150.2	368451	368467
AE017150.2	368699	368715
AE017150.2	368900	368916
AE017150.2	369958	369974
AE017150.2	372286	372302
AE017150.2	372549	372567
AE017150.2	373914	373930
AE017150.2	375296	375312
AE017150.2	378380	378398
AE017150.2	378526	378542
AE017150.2	378717	378735
AE017150.2	379174	379192
AE017150.2	380484	380500
AE017150.2	381449	381465
AE017150.2	382347	382363
AE017150.2	383199	383215
AE017150.2	385593	385609
AE017150.2	386059	386075
AE017150.2	387432	387448
AE017150.2	388525	388541
AE017150.2	391021	391037
AE017150.2	391319	391335
AE017150.2	391526	391542
AE017150.2	393654	393670
AE017150.2	394564	394580
AE017150.2	397701	397717
AE017150.2	398101	398117
AE017150.2	398378	398394
AE017150.2	398539	398555
AE017150.2	399426	399442
AE017150.2	399592	399608
AE017150.2	403338	403354
AE017150.2	405405	405425
AE017150.2	405491	405507
AE017150.2	407717	407733
AE017150.2	408304	408320
AE017150.2	409888	409904
AE017150.2	410060	410076
AE017150.2	410654	410670
AE017150.2	411167	411183
AE017150.2	411361	411377
AE017150.2	411436	411452
AE017150.2	414752	414768
AE017150.2	415242	415258
AE017150.2	415663	415679
AE017150.2	417492	417508
AE017150.2	418954	418970
AE017150.2	419610	419626
AE017150.2	420131	420149
AE017150.2	421432	421448
AE017150.2	423025	423041
AE017150.2	424283	424299
AE017150.2	425844	425860
AE017150.2	425891	425907
AE017150.2	426400	426416
AE017150.2	428501	428517
AE017150.2	429626	429642
AE017150.2	429983	429999
AE017150.2	430703	430721
AE017150.2	431348	431364
AE017150.2	431416	431432
AE017150.2	431635	431651
AE017150.2	431703	431719
AE017150.2	432486	432506
AE017150.2	432809	432825
AE017150.2	432923	432939
AE017150.2	433385	433401
AE017150.2	433625	433641
AE017150.2	435154	435170
AE017150.2	437552	437568
AE017150.2	438508	438524
AE017150.2	438764	438780
AE017150.2	439141	439161
AE017150.2	439790	439806
AE017150.2	440172	440188
AE017150.2	440459	440475
AE017150.2	440621	440637
AE017150.2	441954	441970
AE017150.2	463080	463096
AE017150.2	463244	463260
AE017150.2	464075	464091
AE017150.2	464433	464449
AE017150.2	467133	467153
AE017150.2	467727	467751
AE017150.2	467775	467791
AE017150.2	469090	469110
AE017150.2	469120	469136
AE017150.2	469195	469211
AE017150.2	470275	470291
AE017150.2	470900	470916
AE017150.2	472972	472988
AE017150.2	475220	475236
AE017150.2	476015	476031
AE017150.2	476196	476212
AE017150.2	477137	477161
AE017150.2	478750	478770
AE017150.2	479153	479169
AE017150.2	479219	479239
AE017150.2	479298	479318
AE017150.2	479706	479722
AE017150.2	480690	480706
AE017150.2	482253	482269
AE017150.2	484008	484026
AE017150.2	488787	488805
AE017150.2	488954	488970
AE017150.2	489304	489320
AE017150.2	489829	489845
AE017150.2	491182	491198
AE017150.2	491530	491546
AE017150.2	492223	492239
AE017150.2	492372	492388
AE017150.2	492738	492754
AE017150.2	493401	493417
AE017150.2	493505	493521
AE017150.2	494472	494488
AE017150.2	497112	497128
AE017150.2	497991	498009
AE017150.2	500192	500208
AE017150.2	500301	500317
AE017150.2	500636	500652
AE017150.2	500711	500727
AE017150.2	504186	504202
AE017150.2	504940	504956
AE017150.2	506515	506531
AE017150.2	507605	507621
AE017150.2	508205	508221
AE017150.2	508695	508711
AE017150.2	508948	508964
AE017150.2	509580	509596
AE017150.2	509823	509839
AE017150.2	510719	510743
AE017150.2	511632	511650
AE017150.2	512857	512875
AE017150.2	513573	513589
AE017150.2	513862	513878
AE017150.2	516262	516282
AE017150.2	516398	516416
AE017150.2	517489	517505
AE017150.2	518626	518642
AE017150.2	519665	519681
AE017150.2	520355	520373
AE017150.2	521025	521045
AE017150.2	523082	523098
AE017150.2	523492	523508
AE017150.2	525594	525610
AE017150.2	526850	526866
AE017150.2	531387	531403
AE017150.2	534456	534472
AE017150.2	535331	535347
AE017150.2	535646	535670
AE017150.2	535919	535943
AE017150.2	536509	536525
AE017150.2	536942	536958
AE017150.2	538513	538529
AE017150.2	538942	538964
AE017150.2	539008	539024
AE017150.2	539085	539101
AE017150.2	539579	539599
AE017150.2	540599	540615
AE017150.2	541066	541082
AE017150.2	542618	542634
AE017150.2	542831	542847
AE017150.2	543277	543297
AE017150.2	547082	547098
AE017150.2	547350	547366
AE017150.2	550135	550151
AE017150.2	550554	550570
AE017150.2	550779	550803
AE017150.2	551466	551488
AE017150.2	551850	551866
AE017150.2	552833	552849
AE017150.2	553000	553016
AE017150.2	553163	553185
AE017150.2	555114	555130
AE017150.2	556165	556181
AE017150.2	556633	556649
AE017150.2	556810	556826
AE017150.2	557486	557502
AE017150.2	558072	558088
AE017150.2	558366	558382
AE017150.2	559364	559382
AE017150.2	559484	559500
AE017150.2	561203	561219
AE017150.2	564142	564158
AE017150.2	564264	564284
AE017150.2	565998	566018
AE017150.2	566613	566629
AE017150.2	566803	566819
AE017150.2	566985	567001
AE017150.2	567922	567938
AE017150.2	567947	567963
AE017150.2	568031	568047
AE017150.2	569350	569366
AE017150.2	571981	571997
AE017150.2	572045	572061
AE017150.2	572245	572261
AE017150.2	572640	572656
AE017150.2	572692	572710
AE017150.2	573576	573592
AE017150.2	573663	573679
AE017150.2	575623	575639
AE017150.2	575687	575703
AE017150.2	575887	575903
AE017150.2	576282	576298
AE017150.2	576334	576352
AE017150.2	577218	577234
AE017150.2	577305	577321
AE017150.2	579265	579281
AE017150.2	579329	579345
AE017150.2	579529	579545
AE017150.2	579924	579940
AE017150.2	579976	579994
AE017150.2	580860	580876
AE017150.2	580947	580963
AE017150.2	582907	582923
AE017150.2	582971	582987
AE017150.2	583171	583187
AE017150.2	583566	583582
AE017150.2	583618	583636
AE017150.2	584502	584518
AE017150.2	584589	584605
AE017150.2	586067	586083
AE017150.2	586148	586164
AE017150.2	588659	588675
AE017150.2	589285	589301
AE017150.2	589610	589626
AE017150.2	589741	589757
AE017150.2	590035	590051
AE017150.2	592377	592393
AE017150.2	592833	592849
AE017150.2	592965	592987
AE017150.2	593060	593078
AE017150.2	593389	593405
AE017150.2	593961	593977
AE017150.2	594416	594432
AE017150.2	594548	594570
AE017150.2	594643	594661
AE017150.2	594972	594988
AE017150.2	595544	595560
AE017150.2	596000	596016
AE017150.2	596132	596154
AE017150.2	596235	596251
AE017150.2	596564	596580
AE017150.2	597136	597152
AE017150.2	597592	597608
AE017150.2	597724	597746
AE017150.2	597823	597839
AE017150.2	598150	598166
AE017150.2	598722	598738
AE017150.2	599178	599194
AE017150.2	599310	599332
AE017150.2	599405	599423
AE017150.2	599736	599752
AE017150.2	600308	600324
AE017150.2	600764	600780
AE017150.2	600896	600914
AE017150.2	600991	601009
AE017150.2	601320	601336
AE017150.2	601892	601908
AE017150.2	602348	602364
AE017150.2	602480	602502
AE017150.2	602575	602593
AE017150.2	602904	602920
AE017150.2	603604	603620
AE017150.2	603941	603957
AE017150.2	605572	605588
AE017150.2	606282	606298
AE017150.2	606730	606748
AE017150.2	607376	607392
AE017150.2	608024	608040
AE017150.2	608232	608248
AE017150.2	609075	609099
AE017150.2	609100	609124
AE017150.2	609125	609149
AE017150.2	610167	610183
AE017150.2	610313	610333
AE017150.2	610681	610699
AE017150.2	612254	612272
AE017150.2	612554	612576
AE017150.2	613986	614002
AE017150.2	614016	614032
AE017150.2	615271	615287
AE017150.2	617899	617915
AE017150.2	620571	620593
AE017150.2	621744	621762
AE017150.2	622281	622297
AE017150.2	622644	622660
AE017150.2	623376	623392
AE017150.2	623938	623954
AE017150.2	624468	624484
AE017150.2	624695	624711
AE017150.2	624740	624756
AE017150.2	625056	625072
AE017150.2	625793	625809
AE017150.2	626912	626928
AE017150.2	628310	628328
AE017150.2	628659	628677
AE017150.2	628838	628860
AE017150.2	629232	629248
AE017150.2	631444	631460
AE017150.2	633224	633240
AE017150.2	634608	634624
AE017150.2	634681	634697
AE017150.2	634940	634956
AE017150.2	635789	635805
AE017150.2	636535	636559
AE017150.2	636746	636762
AE017150.2	636963	636979
AE017150.2	638456	638472
AE017150.2	638588	638604
AE017150.2	638913	638929
AE017150.2	640921	640937
AE017150.2	640987	641003
AE017150.2	643364	643380
AE017150.2	643438	643454
AE017150.2	644916	644932
AE017150.2	644982	644998
AE017150.2	647362	647378
AE017150.2	647436	647452
AE017150.2	648914	648930
AE017150.2	648980	648996
AE017150.2	651365	651381
AE017150.2	651439	651455
AE017150.2	652816	652832
AE017150.2	655213	655229
AE017150.2	655603	655627
AE017150.2	655689	655707
AE017150.2	656236	656252
AE017150.2	656256	656272
AE017150.2	656375	656391
AE017150.2	660678	660694
AE017150.2	661438	661454
AE017150.2	661567	661583
AE017150.2	661888	661904
AE017150.2	662556	662572
AE017150.2	662923	662939
AE017150.2	664972	664988
AE017150.2	665168	665184
AE017150.2	665559	665575
AE017150.2	666694	666710
AE017150.2	667236	667252
AE017150.2	667325	667341
AE017150.2	668372	668388
AE017150.2	668579	668595
AE017150.2	668609	668625
AE017150.2	668914	668930
AE017150.2	669014	669030
AE017150.2	670098	670114
AE017150.2	671201	671217
AE017150.2	671685	671701
AE017150.2	671863	671879
AE017150.2	672671	672687
AE017150.2	673114	673130
AE017150.2	674502	674518
AE017150.2	676115	676133
AE017150.2	676145	676161
AE017150.2	676444	676460
AE017150.2	677324	677342
AE017150.2	677572	677588
AE017150.2	678053	678069
AE017150.2	678581	678597
AE017150.2	679138	679154
AE017150.2	679853	679877
AE017150.2	680109	680125
AE017150.2	680529	680545
AE017150.2	682388	682404
AE017150.2	682546	682562
AE017150.2	682702	682724
AE017150.2	682726	682742
AE017150.2	682812	682834
AE017150.2	682929	682945
AE017150.2	684209	684225
AE017150.2	686693	686713
AE017150.2	687224	687242
AE017150.2	687812	687828
AE017150.2	688333	688357
AE017150.2	688359	688375
AE017150.2	688714	688734
AE017150.2	689003	689019
AE017150.2	690293	690309
AE017150.2	691100	691116
AE017150.2	691328	691344
AE017150.2	692406	692422
AE017150.2	692809	692825
AE017150.2	693639	693655
AE017150.2	693950	693966
AE017150.2	695856	695874
AE017150.2	696631	696647
AE017150.2	696973	696989
AE017150.2	698838	698854
AE017150.2	699221	699237
AE017150.2	699640	699656
AE017150.2	699700	699716
AE017150.2	700339	700355
AE017150.2	700822	700838
AE017150.2	701372	701388
AE017150.2	702994	703010
AE017150.2	703075	703091
AE017150.2	704503	704521
AE017150.2	704602	704618
AE017150.2	704894	704914
AE017150.2	705155	705171
AE017150.2	706580	706596
AE017150.2	706646	706662
AE017150.2	707106	707122
AE017150.2	708358	708374
AE017150.2	708552	708568
AE017150.2	708677	708693
AE017150.2	708863	708879
AE017150.2	708919	708935
AE017150.2	709259	709275
AE017150.2	709307	709327
AE017150.2	709393	709415
AE017150.2	709643	709659
AE017150.2	709974	709990
AE017150.2	711656	711672
AE017150.2	711686	711702
AE017150.2	712857	712873
AE017150.2	712890	712906
AE017150.2	714262	714280
AE017150.2	715077	715095
AE017150.2	715584	715600
AE017150.2	715824	715840
AE017150.2	717403	717419
AE017150.2	717425	717441
AE017150.2	717672	717688
AE017150.2	718900	718916
AE017150.2	721153	721173
AE017150.2	721199	721219
AE017150.2	721348	721364
AE017150.2	723355	723375
AE017150.2	723491	723507
AE017150.2	723535	723551
AE017150.2	723950	723966
AE017150.2	724077	724093
AE017150.2	726547	726563
AE017150.2	727099	727115
AE017150.2	727543	727563
AE017150.2	729120	729136
AE017150.2	729179	729195
AE017150.2	729542	729562
AE017150.2	729617	729635
AE017150.2	730050	730066
AE017150.2	730548	730564
AE017150.2	731067	731083
AE017150.2	731337	731361
AE017150.2	733937	733953
AE017150.2	734233	734249
AE017150.2	734385	734401
AE017150.2	734711	734727
AE017150.2	735757	735773
AE017150.2	736788	736804
AE017150.2	737627	737643
AE017150.2	737668	737690
AE017150.2	741292	741308
AE017150.2	741432	741454
AE017150.2	741949	741965
AE017150.2	742672	742688
AE017150.2	742773	742789
AE017150.2	743042	743058
AE017150.2	743546	743562
AE017150.2	745676	745692
AE017150.2	745794	745810
AE017150.2	745894	745910
AE017150.2	746586	746602
AE017150.2	747974	747992
AE017150.2	750606	750622
AE017150.2	750623	750641
AE017150.2	752902	752918
AE017150.2	753017	753033
AE017150.2	754477	754497
AE017150.2	755190	755212
AE017150.2	755357	755373
AE017150.2	755514	755530
AE017150.2	755593	755609
AE017150.2	755972	755988
AE017150.2	756434	756450
AE017150.2	756891	756909
AE017150.2	758618	758642
AE017150.2	758643	758659
AE017150.2	759389	759405
AE017150.2	762401	762417
AE017150.2	764172	764188
AE017150.2	765969	765985
AE017150.2	766800	766816
AE017150.2	767150	767166
AE017150.2	767349	767365
AE017150.2	768456	768472
AE017150.2	768522	768538
AE017150.2	769014	769038
AE017150.2	769039	769063
AE017150.2	769064	769088
AE017150.2	769089	769113
AE017150.2	769367	769383
AE017150.2	769684	769700
AE017150.2	770795	770811
AE017150.2	770825	770841
AE017150.2	771298	771316
AE017150.2	771782	771798
AE017150.2	771895	771911
AE017150.2	771959	771975
AE017150.2	772068	772084
AE017150.2	772968	772984
AE017150.2	773672	773692
AE017150.2	773793	773809
AE017150.2	774076	774092
AE017150.2	775452	775468
AE017150.2	776528	776546
AE017150.2	777416	777432
AE017150.2	777684	777700
AE017150.2	778072	778088
AE017150.2	779287	779303
AE017150.2	779730	779748
AE017150.2	780292	780310
AE017150.2	780350	780368
AE017150.2	780438	780456
AE017150.2	780516	780534
AE017150.2	780594	780612
AE017150.2	780672	780690
AE017150.2	780780	780798
AE017150.2	780828	780846
AE017150.2	780896	780914
AE017150.2	780974	780992
AE017150.2	781032	781050
AE017150.2	781090	781108
AE017150.2	781158	781176
AE017150.2	781216	781234
AE017150.2	781274	781292
AE017150.2	781360	781378
AE017150.2	781388	781406
AE017150.2	781446	781464
AE017150.2	781474	781492
AE017150.2	781582	781600
AE017150.2	781630	781648
AE017150.2	781698	781716
AE017150.2	781776	781794
AE017150.2	781824	781842
AE017150.2	781950	781968
AE017150.2	782008	782026
AE017150.2	782076	782094
AE017150.2	782124	782142
AE017150.2	782192	782210
AE017150.2	782250	782268
AE017150.2	782338	782356
AE017150.2	782396	782414
AE017150.2	782484	782502
AE017150.2	782542	782560
AE017150.2	782620	782638
AE017150.2	782708	782726
AE017150.2	782766	782784
AE017150.2	782853	782871
AE017150.2	782921	782939
AE017150.2	782979	782997
AE017150.2	783047	783065
AE017150.2	783095	783113
AE017150.2	783163	783181
AE017150.2	783211	783229
AE017150.2	783279	783297
AE017150.2	783337	783355
AE017150.2	783385	783403
AE017150.2	783453	783471
AE017150.2	783501	783519
AE017150.2	783559	783577
AE017150.2	783627	783645
AE017150.2	783675	783693
AE017150.2	783743	783761
AE017150.2	783791	783809
AE017150.2	783859	783877
AE017150.2	783947	783965
AE017150.2	784005	784023
AE017150.2	784053	784071
AE017150.2	784121	784139
AE017150.2	784179	784197
AE017150.2	784267	784285
AE017150.2	784325	784343
AE017150.2	784392	784410
AE017150.2	784440	784458
AE017150.2	784508	784526
AE017150.2	784566	784584
AE017150.2	784624	784642
AE017150.2	784682	784700
AE017150.2	784740	784758
AE017150.2	784798	784816
AE017150.2	784856	784874
AE017150.2	784944	784962
AE017150.2	785070	785088
AE017150.2	785128	785146
AE017150.2	785244	785262
AE017150.2	785322	785340
AE017150.2	785380	785398
AE017150.2	786357	786373
AE017150.2	786466	786482
AE017150.2	786530	786546
AE017150.2	786639	786655
AE017150.2	787539	787555
AE017150.2	788363	788379
AE017150.2	790022	790038
AE017150.2	791029	791045
AE017150.2	792787	792803
AE017150.2	793315	793331
AE017150.2	793452	793468
AE017150.2	793549	793565
AE017150.2	793631	793647
AE017150.2	793821	793843
AE017150.2	794053	794073
AE017150.2	794654	794670
AE017150.2	795007	795031
AE017150.2	795208	795224
AE017150.2	796054	796070
AE017150.2	796957	796973
AE017150.2	797070	797088
AE017150.2	797381	797397
AE017150.2	798334	798350
AE017150.2	798391	798407
AE017150.2	798954	798970
AE017150.2	799399	799415
AE017150.2	799977	799993
AE017150.2	800120	800136
AE017150.2	800301	800317
AE017150.2	801412	801430
AE017150.2	801707	801723
AE017150.2	801783	801799
AE017150.2	802125	802141
AE017150.2	802475	802491
AE017150.2	802861	802877
AE017150.2	803325	803347
AE017150.2	806869	806885
AE017150.2	808254	808270
AE017150.2	808568	808584
AE017150.2	809915	809931
AE017150.2	810792	810808
AE017150.2	812128	812144
AE017150.2	812270	812286
AE017150.2	813173	813189
AE017150.2	813481	813499
AE017150.2	813541	813557
AE017150.2	813774	813790
AE017150.2	813927	813943
AE017150.2	814329	814345
AE017150.2	814624	814640
AE017150.2	815032	815048
AE017150.2	816458	816474
AE017150.2	818040	818056
AE017150.2	819758	819774
AE017150.2	821093	821109
AE017150.2	821171	821187
AE017150.2	821754	821770
AE017150.2	823340	823360
AE017150.2	823563	823579
AE017150.2	825844	825860
AE017150.2	826221	826243
AE017150.2	826244	826266
AE017150.2	826604	826620
AE017150.2	826965	826983
AE017150.2	828099	828115
AE017150.2	828171	828187
AE017150.2	828492	828508
AE017150.2	830423	830439
AE017150.2	832006	832022
AE017150.2	832358	832374
AE017150.2	832435	832451
AE017150.2	832463	832479
AE017150.2	833306	833322
AE017150.2	834475	834491
AE017150.2	835704	835720
AE017150.2	836594	836610
AE017150.2	836782	836798
AE017150.2	836962	836978
AE017150.2	837362	837384
AE017150.2	837591	837607
AE017150.2	838073	838089
AE017150.2	838829	838845
AE017150.2	839180	839196
AE017150.2	839211	839227
AE017150.2	840354	840370
AE017150.2	840503	840521
AE017150.2	840600	840616
AE017150.2	840988	841004
AE017150.2	841216	841232
AE017150.2	841386	841402
AE017150.2	841598	841614
AE017150.2	842218	842234
AE017150.2	843577	843593
AE017150.2	844003	844019
AE017150.2	844498	844514
AE017150.2	845564	845580
AE017150.2	845767	845785
AE017150.2	846078	846094
AE017150.2	846664	846680
AE017150.2	848412	848428
AE017150.2	849024	849040
AE017150.2	849446	849464
AE017150.2	850041	850057
AE017150.2	850239	850255
AE017150.2	850727	850747
AE017150.2	851424	851440
AE017150.2	852339	852357
AE017150.2	854904	854920
AE017150.2	855331	855347
